Date,Category,1,2,3,4,Prior Year Total,Current Year Total,7,Month,Year
2/1/09,nicht veranlagte Steuer vom Ertrag,8 305,8 695,"3,2","4,0",1180,1473,"24,8",2,2009
2/1/09,Zinsabschlag,5 922,5 174,"5,4","5,8",2019,2128,"5,4",2,2009
2/1/09,Körperschaftsteuer,7 943,6 938,"-0,4","0,1",-156,28,X,2,2009
2/1/09,Steuern vom Umsatz,95 806,98 147,"45,6","45,5",16911,16602,"-1,8",2,2009
2/1/09,Gewerbesteuerumlage,1 348,1 346,"0,2","0,0",68,1,"-98,5",2,2009
2/1/09,Energiesteuer,39 248,39 357,"4,4","4,9",1627,1795,"10,3",2,2009
2/1/09,Tabaksteuer,13 574,13 450,"3,8","3,6",1420,1319,"-7,1",2,2009
2/1/09,Solidaritätszuschlag,13 146,13 300,"4,7","5,0",1758,1809,"2,9",2,2009
2/1/09,Versicherungsteuer,10 478,10 450,"10,4","10,6",3861,3858,"-0,1",2,2009
2/1/09,Stromsteuer,6 261,6 200,"2,8","2,8",1028,1022,"-0,6",2,2009
2/1/09,Branntweinabgaben,2 129,2 133,"1,2","1,2",461,455,"-1,3",2,2009
2/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",164,158,"-3,7",2,2009
2/1/09,Ergänzungszuweisungen an Länder,-14 850,-14 198,"0,0","0,0",0,0,"0,0",2,2009
2/1/09,BNE-Eigenmittel der EU,-15 340,-18 980,"-11,1","-10,0",-4122,-3639,"-11,7",2,2009
2/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,1 280,"-3,4","-3,6",-1262,-1327,"5,2",2,2009
2/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-3,0","-3,1",-1113,-1129,"1,4",2,2009
2/1/09,II. Sonstige Einnahmen,31 246,27 159,"12,2","9,7",4532,3552,"-21,6",2,2009
2/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"1,2","0,5",446,180,"-59,6",2,2009
2/1/09,Zinseinnahmen,737,911,"0,3","0,6",97,205,"111,3",2,2009
2/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"1,5","1,5",543,534,"-1,7",2,2009
2/1/09,Einnahmen zusammen,270 476,260 339,"100,0","100,0",37051,36464,"-1,6",2,2009
3/1/09,I. Steuern,239 231,233 180,"84,3","81,3",49559,49320,"-0,5",3,2009
3/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,185 508,"75,4","72,0",44343,43652,"-1,6",3,2009
3/1/09,Einkommen- und Körperschaftsteuer (einschl. Zinsabschlag),96 379,86 015,"34,7","33,7",20425,20449,"0,1",3,2009
3/1/09,Lohnsteuer,60 310,52 500,"21,4","21,4",12562,12986,"3,4",3,2009
3/1/09,veranlagte Einkommensteuer,13 899,12 708,"2,7","2,1",1567,1262,"-19,5",3,2009
3/1/09,nicht veranlagte Steuer vom Ertrag,8 305,8 695,"2,6","2,6",1545,1598,"3,4",3,2009
3/1/09,Zinsabschlag,5 922,5 174,"4,0","4,0",2379,2403,"1,0",3,2009
3/1/09,Körperschaftssteuer,7 943,6 938,"4,0","3,6",2372,2199,"-7,3",3,2009
3/1/09,Steuern vom Umsatz,95 806,98 147,"40,6","38,2",23849,23201,"-2,7",3,2009
3/1/09,Gewerbesteuerumlage,1 348,1 346,"0,1","0,0",70,3,"-95,7",3,2009
3/1/09,Energiesteuer,39 248,39 357,"7,9","7,9",4668,4777,"2,3",3,2009
3/1/09,Tabaksteuer,13 574,13 450,"4,3","3,9",2547,2365,"-7,1",3,2009
3/1/09,Solidaritätszuschlag,13 146,13 300,"5,4","5,3",3192,3191,"0,0",3,2009
3/1/09,Versicherungsteuer,10 478,10 450,"7,7","7,4",4540,4502,"-0,8",3,2009
3/1/09,Stromsteuer,6 261,6 200,"2,6","2,6",1547,1560,"0,8",3,2009
3/1/09,Branntweinabgaben,2 129,2 133,"1,1","1,0",627,594,"-5,3",3,2009
3/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",232,225,"-3,0",3,2009
3/1/09,Ergänzungszuweisungen an Länder,-14 850,-14 198,"-6,1","-5,7",-3603,-3445,"-4,4",3,2009
3/1/09,BNE-Eigenmittel der EU,-15 340,-18 980,"-9,3","-8,1",-5449,-4896,"-10,1",3,2009
3/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,1 280,"-2,7","-2,7",-1578,-1659,"5,1",3,2009
3/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-2,8","-2,8",-1669,-1694,"1,5",3,2009
3/1/09,II. Sonstige Einnahmen,31 246,27 159,"15,7","18,7",9246,11346,"22,7",3,2009
3/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"6,7","6,3",3953,3799,"-3,9",3,2009
3/1/09,Zinseinnahmen,737,911,"0,3","0,4",159,250,"57,2",3,2009
3/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"1,4","1,3",810,770,"-4,9",3,2009
3/1/09,Einnahmen zusammen,270 476,260 339,"100,0","100,0",58805,60667,"3,2",3,2009
4/1/09,I. Steuern,239 231,233 180,"85,6","82,8",67867,65607,"-3,3",4,2009
4/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,185 508,"73,6","70,1",58388,55605,"-4,8",4,2009
4/1/09,Einkommen- und Körperschaftsteuer (einschl. Zinsabschlag),96 379,86 015,"34,5","31,5",27337,24945,"-8,8",4,2009
4/1/09,Lohnsteuer,60 310,52 500,"21,9","20,3",17352,16126,"-7,1",4,2009
4/1/09,veranlagte Einkommensteuer,13 899,12 708,"2,5","2,2",1997,1743,"-12,7",4,2009
4/1/09,nicht veranlagte Steuer vom Ertrag,8 305,8 695,"3,7","3,4",2898,2698,"-6,9",4,2009
4/1/09,Zinsabschlag,5 922,5 174,"3,5","3,5",2794,2770,"-0,9",4,2009
4/1/09,Körperschaftssteuer,7 943,6 938,"2,9","2,0",2296,1608,"-30,0",4,2009
4/1/09,Steuern vom Umsatz,95 806,98 147,"38,9","38,5",30861,30534,"-1,1",4,2009
4/1/09,Gewerbesteuerumlage,1 348,1 346,"0,2","0,2",191,126,"-34,0",4,2009
4/1/09,Energiesteuer,39 248,39 357,"9,8","9,9",7767,7848,"1,0",4,2009
4/1/09,Tabaksteuer,13 574,13 450,"4,6","4,5",3657,3562,"-2,6",4,2009
4/1/09,Solidaritätszuschlag,13 146,13 300,"5,2","5,1",4122,4011,"-2,7",4,2009
4/1/09,Versicherungsteuer,10 478,10 450,"6,5","6,5",5147,5129,"-0,3",4,2009
4/1/09,Stromsteuer,6 261,6 200,"2,5","2,6",2014,2068,"2,7",4,2009
4/1/09,Branntweinabgaben,2 129,2 133,"1,0","0,9",763,734,"-3,8",4,2009
4/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",321,321,"0,0",4,2009
4/1/09,Ergänzungszuweisungen an Länder,-14 850,-14 198,"-4,5","-4,3",-3603,-3445,"-4,4",4,2009
4/1/09,BNE-Eigenmittel der EU,-15 340,-18 980,"-8,5","-7,8",-6775,-6152,"-9,2",4,2009
4/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,1 280,"-2,4","-2,5",-1893,-1991,"5,2",4,2009
4/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-2,8","-2,8",-2225,-2258,"1,5",4,2009
4/1/09,II. Sonstige Einnahmen,31 246,27 159,"14,4","17,2",11433,13667,"19,5",4,2009
4/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"5,1","4,8",4062,3808,"-6,3",4,2009
4/1/09,Zinseinnahmen,737,911,"0,2","0,4",187,286,"52,9",4,2009
4/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"2,3","2,1",1792,1633,"-8,9",4,2009
4/1/09,Einnahmen zusammen,270 476,260 339,"100,0","100,0",79300,79274,"0,0",4,2009
5/1/09,I. Steuern,239 231,225 463,"85,9","84,0",88518,85959,"-2,9",5,2009
5/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,181 902,"71,7","68,9",73841,70499,"-4,5",5,2009
5/1/09,Einkommen- und Körperschaftsteuer,96 379,85 573,"33,5","30,8",34490,31472,"-8,8",5,2009
5/1/09,Lohnsteuer,60 310,57 800,"21,6","20,6",22211,21109,"-5,0",5,2009
5/1/09,veranlagte Einkommensteuer,13 899,9 711,"2,3","1,7",2324,1763,"-24,1",5,2009
5/1/09,nicht veranlagte Steuer vom Ertrag,8 305,7 270,"4,5","4,2",4588,4286,"-6,6",5,2009
5/1/09,Zinsabschlag,5 922,5 337,"3,1","3,1",3177,3141,"-1,1",5,2009
5/1/09,Körperschaftssteuer,7 943,5 455,"2,1","1,1",2189,1173,"-46,4",5,2009
5/1/09,Steuern vom Umsatz,95 806,95 165,"37,8","37,8",38971,38710,"-0,7",5,2009
5/1/09,Gewerbesteuerumlage,1 348,1 164,"0,4","0,3",381,317,"-16,8",5,2009
5/1/09,Energiesteuer,39 248,38 100,"10,6","10,9",10877,11194,"2,9",5,2009
5/1/09,Tabaksteuer,13 574,13 380,"4,6","4,7",4790,4759,"-0,6",5,2009
5/1/09,Solidaritätszuschlag,13 146,12 000,"4,9","4,8",5098,4914,"-3,6",5,2009
5/1/09,Versicherungsteuer,10 478,10 450,"5,7","5,8",5895,5907,"0,2",5,2009
5/1/09,Stromsteuer,6 261,6 200,"2,4","2,5",2509,2519,"0,4",5,2009
5/1/09,Branntweinabgaben,2 129,2 133,"0,9","0,9",937,910,"-2,9",5,2009
5/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",406,410,"1,0",5,2009
5/1/09,Ergänzungszuweisungen an Länder,-14 850,-13 784,"-3,5","-3,4",-3613,-3445,"-4,6",5,2009
5/1/09,BNE-Eigenmittel der EU,-15 340,-16 470,"-7,4","-6,7",-7589,-6905,"-9,0",5,2009
5/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,-2 260,"-2,0","-2,1",-2083,-2190,"5,1",5,2009
5/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-2,7","-2,8",-2781,-2823,"1,5",5,2009
5/1/09,II. Sonstige Einnahmen,31 246,29 760,"14,1","16,0",14519,16370,"12,7",5,2009
5/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"4,0","3,7",4072,3819,"-6,2",5,2009
5/1/09,Zinseinnahmen,737,911,"0,2","0,3",241,298,"23,7",5,2009
5/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"2,2","2,2",2266,2221,"-2,0",5,2009
5/1/09,Einnahmen zusammen,270 476,255 223,"100,0","100,0",103037,102330,"-0,7",5,2009
6/1/09,I. Steuern,239 231,224 068,"87,9","86,2",111142,109323,"-1,6",6,2009
6/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,180 772,"74,3","69,7",94017,88405,"-6,0",6,2009
6/1/09,Einkommen- und Körperschaftsteuer (einschl. Zinsabschlag),96 379,84 443,"37,0","32,7",46842,41498,"-11,4",6,2009
6/1/09,Lohnsteuer,60 310,56 670,"21,6","20,5",27287,25933,"-5,0",6,2009
6/1/09,veranlagte Einkommensteuer,13 899,9 711,"4,7","4,1",5986,5147,"-14,0",6,2009
6/1/09,nicht veranlagte Steuer vom Ertrag,8 305,7 270,"4,2","3,7",5348,4653,"-13,0",6,2009
6/1/09,Zinsabschlag,5 922,5 337,"2,7","2,7",3438,3394,"-1,3",6,2009
6/1/09,Körperschaftssteuer,7 943,5 455,"3,8","1,9",4783,2370,"-50,4",6,2009
6/1/09,Steuern vom Umsatz,95 806,95 165,"37,0","36,7",46783,46588,"-0,4",6,2009
6/1/09,Gewerbesteuerumlage,1 348,1 164,"0,3","0,3",392,319,"-18,6",6,2009
6/1/09,Energiesteuer,39 248,37 835,"11,3","11,7",14238,14836,"4,2",6,2009
6/1/09,Tabaksteuer,13 574,13 380,"4,6","4,7",5814,5925,"1,9",6,2009
6/1/09,Solidaritätszuschlag,13 146,12 000,"5,3","4,9",6694,6248,"-6,7",6,2009
6/1/09,Versicherungsteuer,10 478,10 450,"5,1","5,1",6490,6501,"0,2",6,2009
6/1/09,Stromsteuer,6 261,6 200,"2,5","2,5",3141,3129,"-0,4",6,2009
6/1/09,Branntweinabgaben,2 129,2 133,"0,9","0,8",1107,1073,"-3,1",6,2009
6/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",481,488,"1,5",6,2009
6/1/09,Ergänzungszuweisungen an Länder,-14 850,-13 784,"-5,7","-5,4",-7259,-6891,"-5,1",6,2009
6/1/09,BNE-Eigenmittel der EU,-15 340,-16 470,"-6,5","-4,8",-8253,-6068,"-26,5",6,2009
6/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,-2 260,"-1,8","-0,9",-2240,-1182,"-47,2",6,2009
6/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-2,6","-2,7",-3338,-3388,"1,5",6,2009
6/1/09,II. Sonstige Einnahmen,31 246,29 760,"12,1","13,8",15327,17454,"13,9",6,2009
6/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"3,2","3,2",4086,3996,"-2,2",6,2009
6/1/09,Zinseinnahmen,737,911,"0,2","0,2",288,310,"7,6",6,2009
6/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"1,9","1,8",2340,2309,"-1,3",6,2009
6/1/09,Einnahmen zusammen,270 476,253 828,"100,0","100,0",126469,126776,"0,2",6,2009
7/1/09,I. Steuern,239 231,224 068,"88,0","86,7",130746,128650,"-1,6",7,2009
7/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,181 902,"72,9","68,5",108344,101615,"-6,2",7,2009
7/1/09,Einkommen- und Körperschaftsteuer (einschl. Abgeltungsteuer auf Zins- und Veräußerungserträge2),96 379,85 573,"35,8","31,6",53220,46916,"-11,8",7,2009
7/1/09,Lohnsteuer,60 310,57 800,"22,0","20,9",32641,31073,"-4,8",7,2009
7/1/09,veranlagte Einkommensteuer,13 899,9 711,"4,1","3,3",6032,4907,"-18,7",7,2009
7/1/09,nicht veranlagte Steuer vom Ertrag,8 305,7 270,"4,0","3,5",6005,5139,"-14,4",7,2009
7/1/09,Abgeltungsteuer auf Zins- und Veräußerungserträge2,5 922,5 337,"2,6","2,6",3870,3836,"-0,9",7,2009
7/1/09,Körperschaftssteuer,7 943,5 455,"3,1","1,3",4671,1961,"-58,0",7,2009
7/1/09,Steuern vom Umsatz,95 806,95 165,"36,7","36,6",54591,54265,"-0,6",7,2009
7/1/09,Gewerbesteuerumlage,1 348,1 164,"0,4","0,3",533,434,"-18,6",7,2009
7/1/09,Energiesteuer,39 248,37 835,"11,7","12,1",17417,18028,"3,5",7,2009
7/1/09,Tabaksteuer,13 574,13 380,"4,7","4,9",7023,7208,"2,6",7,2009
7/1/09,Solidaritätszuschlag,13 146,12 000,"5,1","4,7",7554,7035,"-6,9",7,2009
7/1/09,Versicherungsteuer,10 478,10 450,"4,7","4,8",7043,7070,"0,4",7,2009
7/1/09,Stromsteuer,6 261,6 200,"2,4","2,5",3602,3648,"1,3",7,2009
7/1/09,Kraftfahrzeugsteuer,0,3 719,0,"0,4",0,612,0,7,2009
7/1/09,Branntweinabgaben,2 129,2 133,"0,9","0,8",1270,1230,"-3,1",7,2009
7/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",559,563,"0,7",7,2009
7/1/09,Ergänzungszuweisungen an Länder,-14 850,-13 784,"-4,9","-4,6",-7259,-6891,"-5,1",7,2009
7/1/09,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,9","-4,4",-8771,-6593,"-24,8",7,2009
7/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,-2 260,"-1,6","-0,8",-2430,-1249,"-48,6",7,2009
7/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-2,6","-2,7",-3894,-3952,"1,5",7,2009
7/1/09,Zuweisung an die Länderfür  Kfz-Steuer und  Lkw-Maut,0,-4 571,0,0,0,0,0,7,2009
7/1/09,II. Sonstige Einnahmen,31 246,29 760,"12,0","13,3",17830,19792,"11,0",7,2009
7/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"2,8","2,7",4197,4004,"-4,6",7,2009
7/1/09,Zinseinnahmen,737,911,"0,2","0,2",371,353,"-4,9",7,2009
7/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"2,1","2,2",3158,3252,"3,0",7,2009
7/1/09,Einnahmen zusammen,270 476,253 828,"100,0","100,0",148575,148441,"-0,1",7,2009
8/1/09,I. Steuern,239 231,224 068,"88,2","86,6",1500416,1440318,"-4,1",8,2009
8/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,180 772,"71,8","68,9",122494,114841,"-6,2",8,2009
8/1/09,Einkommen- und Körperschaftsteuer (einschl. Abgeltungsteuer auf Zins- und Veräußerungserträge) 2,96 379,85 573,"34,3","30,7",58505,51142,"-12,6",8,2009
8/1/09,Lohnsteuer,60 310,57 800,"21,9","21,2",37337,35367,"-5,3",8,2009
8/1/09,veranlagte Einkommensteuer,13 899,9 711,"3,5","2,8",5977,4668,"-21,9",8,2009
8/1/09,nicht veranlagte Steuer vom Ertrag,8 305,7 270,"3,7","3,2",6358,5345,"-15,9",8,2009
8/1/09,Abgeltungsteuer auf Zins- und Veräußerungserträge2,5 922,5 337,"2,6","2,5",4369,4220,"-3,4",8,2009
8/1/09,Körperschaftsteuer,7 943,5 455,"2,6","0,9",4464,1542,"-65,5",8,2009
8/1/09,Steuern vom Umsatz,95 806,95 165,"37,1","37,4",63250,62403,"-1,3",8,2009
8/1/09,Gewerbesteuerumlage,1 348,1 164,"0,4","0,4",738,604,"-18,2",8,2009
8/1/09,Energiesteuer,39 248,37 835,"12,1","12,7",20601,21195,"2,9",8,2009
8/1/09,Tabaksteuer,13 574,13 380,"4,9","5,0",8315,8351,"0,4",8,2009
8/1/09,Solidaritätszuschlag,13 146,12 000,"4,9","4,6",8311,7643,"-8,0",8,2009
8/1/09,Versicherungsteuer,10 478,10 450,"4,7","4,9",8072,8087,"0,2",8,2009
8/1/09,Stromsteuer,6 261,6 200,"2,4","2,5",4118,4175,"1,4",8,2009
8/1/09,Kraftfahrzeugsteuer,0,3 719,0,"0,7",0,1239,0,8,2009
8/1/09,Branntweinabgaben,2 129,2 133,"0,8","0,8",1424,1391,"-2,3",8,2009
8/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",640,643,"0,5",8,2009
8/1/09,Ergänzungszuweisungen an Länder,-14 850,-13 784,"-4,3","-4,1",-7259,-6891,"-5,1",8,2009
8/1/09,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,6","-4,7",-9547,-7775,"-18,6",8,2009
8/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,-2 260,"-1,5","-0,8",-2619,-1401,"-46,5",8,2009
8/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-2,6","-2,7",-4450,-4517,"1,5",8,2009
8/1/09,Zuweisung an die Länderfür  Kfz-Steuer und  Lkw-Maut,0,-4 571,0,"-1,4",0,-2285,0,8,2009
8/1/09,II. Sonstige Einnahmen,31 246,29 760,"11,8","13,4",20120,22323,"10,9",8,2009
8/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"2,5","2,4",4208,4062,"-3,5",8,2009
8/1/09,Zinseinnahmen,737,911,"0,3","0,3",557,481,"-13,6",8,2009
8/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"1,9","2,0",3183,3263,"2,5",8,2009
8/1/09,Einnahmen zusammen,270 476,253 828,"100,0","100,0",170536,166640,"-2,3",8,2009
9/1/09,I. Steuern,239 231,224 068,"89,0","87,5",171088,164480,"-3,9",9,2009
9/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,180 772,"73,6","70,3",141377,132125,"-6,5",9,2009
9/1/09,Einkommen- und Körperschaftsteuer(einschl. Abgeltungsteuer auf Zins- und Veräußerungserträge)2,96 379,85 573,"36,2","32,4",69597,61001,"-12,4",9,2009
9/1/09,Lohnsteuer,60 310,57 800,"21,7","21,1",41802,39641,"-5,2",9,2009
9/1/09,veranlagte Einkommensteuer,13 899,9 711,"5,1","4,3",9759,8008,"-17,9",9,2009
9/1/09,nicht veranlagte Steuer vom Ertrag,8 305,7 270,"3,4","2,9",6560,5508,"-16,0",9,2009
9/1/09,Abgeltungsteuer auf Zins- und Veräußerungserträge2,5 922,5 337,"2,4","2,4",4648,4485,"-3,5",9,2009
9/1/09,Körperschaftssteuer,7 943,5 455,"3,6","1,4",6828,2666,"-61,0",9,2009
9/1/09,Steuern vom Umsatz,95 806,95 165,"37,0","37,5",71053,70519,"-0,8",9,2009
9/1/09,Gewerbesteuerumlage,1 348,1 164,"0,4","0,3",727,605,"-16,8",9,2009
9/1/09,Energiesteuer,39 248,37 835,"12,5","13,1",24045,24718,"2,8",9,2009
9/1/09,Tabaksteuer,13 574,13 380,"4,9","5,0",9463,9424,"-0,4",9,2009
9/1/09,Solidaritätszuschlag,13 146,12 000,"5,1","4,7",9754,8886,"-8,9",9,2009
9/1/09,Versicherungsteuer,10 478,10 450,"4,5","4,6",8568,8597,"0,3",9,2009
9/1/09,Stromsteuer,6 261,6 200,"2,4","2,5",4605,4711,"2,3",9,2009
9/1/09,Kraftfahrzeugsteuer,0,3 719,0,"1,0",0,1907,0,9,2009
9/1/09,Branntweinabgaben,2 129,2 133,"0,8","0,8",1595,1561,"-2,1",9,2009
9/1/09,Kaffeesteuer,1 008,1 000,"0,4","0,4",721,722,"0,1",9,2009
9/1/09,Ergänzungszuweisungen an Länder,-14 850,-13 784,"-5,8","-5,4",-11093,-10245,"-7,6",9,2009
9/1/09,BNE-Eigenmittel der EU,-15 340,-16 470,"-5,4","-4,6",-10452,-8694,"-16,8",9,2009
9/1/09,Mehrwertsteuer-Eigenmittel der EU,-3 738,-2 260,"-1,5","-0,8",-2840,-1519,"-46,5",9,2009
9/1/09,Zuweisungen an Länder für ÖPNV,-6 675,-6 775,"-2,6","-2,7",-5006,-5081,"1,5",9,2009
9/1/09,Zuweisung an die Länderfür  Kfz-Steuer und  Lkw-Maut,0,-4 571,0,"-1,2",0,-2285,0,9,2009
9/1/09,II. Sonstige Einnahmen,31 246,29 760,"11,0","12,5",21124,23517,"11,3",9,2009
9/1/09,Einnahmen aus wirtschaftlicher Tätigkeit,4 568,4 339,"2,2","2,2",4218,4219,"0,0",9,2009
9/1/09,Zinseinnahmen,737,911,"0,3","0,3",584,495,"-15,2",9,2009
9/1/09,"Darlehensrückflüsse, Beteiligungen, Privatisierungserlöse",8 630,4 004,"1,7","1,8",3266,3323,"1,7",9,2009
9/1/09,Einnahmen zusammen,270 476,253 828,"100,0","100,0",192212,187996,"-2,2",9,2009
10/1/09,I. Steuern,239 231,224 068,"89,0","87,8",187264,179728,"-4,0",10,2009
10/1/09,Bundesanteile an Gemeinschaftsteuern:,193 532,180 772,"73,0","70,3",153731,143936,"-6,4",10,2009
10/1/09,Einkommen- und Körperschaftsteuer (einschl. Abgeltungsteuer auf Zins- und Veräußerungserträge)2,96 379,85 573,"35,2","31,7",74148,64949,"-12,4",10,2009
10/1/09,Lohnsteuer,60 310,57 800,"22,0","21,5",46310,44015,"-5,0",10,2009
10/1/09,veranlagte Einkommensteuer,13 899,9 711,"4,7","3,8",9827,7722,"-21,4",10,2009
10/1/09,nicht veranlagte Steuer vom Ertrag,8 305,7 270,"3,3","2,7",6849,5621,"-17,9",10,2009
10/1/09,Abgeltungsteuer auf Zins- und Veräußerungserträge2,5 922,5 337,"2,4","2,3",5050,4798,"-5,0",10,2009
10/1/09,Körperschaftssteuer,7 943,5 455,"2,9","1,0",6112,2100,"-65,6",10,2009
10/1/09,Steuern vom Umsatz,95 806,95 165,"37,4","38,2",78734,78280,"-0,6",10,2009
10/1/09,Gewerbesteuerumlage,1 348,1 164,"0,4","0,3",849,707,"-16,7",10,2009
10/1/09,Energiesteuer,39 248,37 835,"12,9","13,7",27217,28018,"2,9",10,2009
10/1/09,Tabaksteuer,13 574,13 380,"5,1","5,2",10695,10651,"-0,4",10,2009
10/1/09,Solidaritätszuschlag,13 146,12 000,"5,0","4,6",10433,9500,"-8,9",10,2009
